1,หมู่ 13 หนองจิกน้ำดำ,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,"081-291-9092, 087-165-7663",5 ปี 0 เดือน,14.601033,99.615861,9,Typical Type C
2,หมู่ 6 สี่กั๊ก,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,065-337-4196,10 ปี 0 เดือน,14.588587,99.638117,9,Typical Type C
3,หมู่ 7 หนองปลิง,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,061-356-6634,2 ปี 0 เดือน,14.567454,99.634531,9,Typical Type C
4,หมู่ 8 ชัฎดงพลับ,ทุ่งกระบ่ำ,เลาขวัญ,กาญจนบุรี,"083-376-1745, ผช. 065-040-0790",19 ปี 0 เดือน,14.625292,99.652235,9,Typical Type C
5,หมู่ 2 หนองเค็ด,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,085-701-5890,8 ปี 0 เดือน,14.477975,99.653895,9,Typical Type C
6,หมู่ 4 หนองจั่น,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,081-942-3643,17 ปี 0 เดือน,14.532685,99.649881,9,Typical Type C
7,หมู่ 5 หนองขบ,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,092-898-3949,19 ปี 0 เดือน,14.494989,99.673001,9,Typical Type C
8,หมู่ 9 หนองข่อย,หนองนกแก้ว,เลาขวัญ,กาญจนบุรี,086-049-8314,7 ปี 0 เดือน,14.51521,99.633163,9,Typical Type C
9,หมู่ 10 หนองมะสังข์,หนองประดู่,เลาขวัญ,กาญจนบุรี,082-254-8406,24 ปี 0 เดือน,14.486867,99.695016,9,Typical Type C
10,หมู่ 11 หนองตาเกิด,หนองประดู่,เลาขวัญ,กาญจนบุรี,065-295-7164,10 ปี 0 เดือน,14.448948,99.723167,9,Typical Type B
11,หมู่ 3 ตลุงเหนือ,หนองประดู่,เลาขวัญ,กาญจนบุรี,080-075-5751,5 ปี 0 เดือน,,99.727385,9,Typical Type B
12,หมู่ 5 หนองปรือ,หนองประดู่,เลาขวัญ,กาญจนบุรี,097-951-6374,14 ปี 0 เดือน,14.435006,99.735956,9,Typical Type C
13,หมู่ 6 น้ำโจน,หนองประดู่,เลาขวัญ,กาญจนบุรี,080-324-4524,7 ปี 0 เดือน,14.481615,99.745157,9,Typical Type C
14,หมู่ 8 หนองแกแดง,หนองประดู่,เลาขวัญ,กาญจนบุรี,086-035-2794,20 ปี 0 เดือน,14.446396,99.667616,9,Typical Type C
15,หมู่ 9 เหียงงาม,หนองประดู่,เลาขวัญ,กาญจนบุรี,065-597-9583,20 ปี 0 เดือน,14.406573,99.741555,9,Typical Type C
16,หมู่ 1 หนองมะเขือ,วังไผ่,ห้วยกระเจา,กาญจนบุรี,087-170-1458,2 ปี 0 เดือน,14.359956,99.67207,18,
17,หมู่ 10 หนองโก,วังไผ่,ห้วยกระเจา,กาญจนบุรี,087-165-4115,10 ปี 0 เดือน,14.39692,99.66664,9,Typical Type C
18,หมู่ 11 วังสมบูรณ์,วังไผ่,ห้วยกระเจา,กาญจนบุรี,080-331-7971,15 ปี 0 เดือน,14.379446,99.647717,9,Typical Type C
19,หมู่ 2 วังมะค่า,วังไผ่,ห้วยกระเจา,กาญจนบุรี,087-094-2148,20 ปี 9 เดือน,14.358156,99.663729,9,Typical Type C
20,หมู่ 3 นาตามิ่ง,วังไผ่,ห้วยกระเจา,กาญจนบุรี,081-944-4316,15 ปี 0 เดือน,14.376531,99.675022,9,Typical Type B
21,หมู่ 4 วังไผ่,วังไผ่,ห้วยกระเจา,กาญจนบุรี,089-040-0787,5 ปี 0 เดือน,14.36226,99.668808,9,Typical Type C
22,หมู่ 5 นาใหม่,วังไผ่,ห้วยกระเจา,กาญจนบุรี,089-916-8106,8 ปี 0 เดือน,14.391267,99.692071,9,Typical Type C
23,หมู่ 6 หนองตายอด,วังไผ่,ห้วยกระเจา,กาญจนบุรี,"087-158-0187, 093-153-1728",20 ปี 0 เดือน,14.373447,99.644687,9,Typical Type C
24,หมู่ 7 หนองมะสังข์,วังไผ่,ห้วยกระเจา,กาญจนบุรี,"0818582489, ผช.เอ 0989761663",8 ปี 9 เดือน,14.379073,99.654609,9,Typical Type C
25,หมู่ 9 บ่อทอง,วังไผ่,ห้วยกระเจา,กาญจนบุรี,098-559-4798,3 ปี 0 เดือน,14.408834,99.644617,9,Typical Type C
26,หมู่ 12 กรอกตาโพธิ์,สระลงเรือ,ห้วยกระเจา,กาญจนบุรี,089-885-2168,5 ปี 0 เดือน,14.374583,99.736028,9,Typical Type B
